comment,date,source,category,score
i love your videos but...this one is a little more on the side of samsung like its sponsored. you don't have to hold the phone close to the camera but you can also rest your fingers on the camera because you didn't mention that no prints remain on that surface and you don't have to clean the cameras at all they simply don't get dirty which is extra. charging batery from 0 to 100% for 15 minutes xou didnt mentioned all adds can be disabledall. and for the camera samsung is not close at all  i think you did a great job with this video but you weren't objective.,23-06-2024,youtube,Positive,4.06
the rear bezel actually added more structural strength for the phone it's the foundation to make the guardian structure valid as a selling point and it does perform better in reallife dropping tests compared with other flagshipsas a xiaomi 13 ultra owner i personally like the look and feel of the bezel as well when you grab it and imagine there's no such a huge camera bump,23-06-2024,youtube,Positive,4.06
thanks for the review i see it to be very objective. the reflective feature on the samsung s24 ultra makes it great for watching movies and even just normal phone usage. i have the xiaomi 14 pro and i've experience how surrounding light makes screen viewing difficult. all in all i still love my xiaoimi 14 pro cuz it gives me that extra touch.,23-06-2024,youtube,Positive,4.06
it's a very nyc store very good staff thanx mi,26-06-2020,google,Positive,4.04
i like that camera grip option given cameras are a huge factor in phones these days i have no idea why manufacturers don't offer more than the flat slab with a few normal lenses. theres room for full optical lenses these days especially given battery demands and balance/ergonomic issues. i'd love to see a m43 mount over a big sensor or an optical zoom lens like an updated galaxy zoom. there's so much that could be done if they weren't resigned to the same form factor.,23-06-2024,youtube,Positive,4.04
hey just a cool video idea u can compare an old flagship phone ( iphone or samsung like iphone 6 for example) to a new budget phone it can make some fun comparisons,23-06-2024,youtube,Positive,4.04
hey just a cool video idea u can compare an old flagship phone ( iphone or samsung like iphone 6 for example) to a new budget phone it can make some fun comparisons,23-06-2024,youtube,Positive,4.04
i wish there would be a song list in this videos. such amazing tune choice and no chance to get them somewhere,23-06-2024,youtube,Positive,4.04
i wish there would be a song list in this videos. such amazing tune choice and no chance to get them somewhere,23-06-2024,youtube,Positive,4.04
very worthy comparison across the ultras thanks for taking the time to do this. will go with the s24u.,23-06-2024,youtube,Positive,4.04
very worthy comparison across the ultras thanks for taking the time to do this. will go with the s24u.,23-06-2024,youtube,Positive,4.04
congrats and more to come,21-06-2024,facebook,Positive,4.02
nice,25-06-2024,facebook,Positive,4.02
nice,24-06-2024,facebook,Positive,4.02
nice staffs,#VALUE!,google,Positive,4.02
thanksgiving nice service,26-02-2024,google,Positive,4.02
nice 👍👍 …,26-02-2024,google,Positive,4.02
i purchased poco f1 from mi home rdc. there is so much supportive staff and mr. gaurav is really helpful.,27-06-2019,google,Positive,4.02
nice store,27-03-2024,google,Positive,4.02
nice,27-03-2024,google,Positive,4.02
nice store,26-02-2024,google,Positive,4.02
nice service,26-02-2024,google,Positive,4.02
excellent service wide range of products helful staff,27-06-2019,google,Positive,4.02
nice environment,26-02-2024,google,Positive,4.02
arun nagar has nice knowledge...good to purchase mi,27-06-2019,google,Positive,4.02
nice place for mi experience.must visit for mi products nearby .,27-06-2019,google,Positive,4.02
nice,27-01-2024,google,Positive,4.02
nice service in store. keep it up.,27-06-2019,google,Positive,4.02
random question but are you able to do a review on the phones you can buy off amazon i live in canada and i keep seeing ads for umidigi and ulefone . some of them have crazy specs like 100 megapixel cameras 25 megapixel night vision camera etc would be interesting to see a good video.,23-06-2024,youtube,Positive,4.02
random question but are you able to do a review on the phones you can buy off amazon i live in canada and i keep seeing ads for umidigi and ulefone . some of them have crazy specs like 100 megapixel cameras 25 megapixel night vision camera etc would be interesting to see a good video.,23-06-2024,youtube,Positive,4.02
the video we all been waiting for. a camera comparison would be nice,23-06-2024,youtube,Positive,4.02
its funny how youtube try to change something but we still find a loop hole lmfao,23-06-2024,youtube,Positive,4.02
its funny how youtube try to change something but we still find a loop hole lmfao,23-06-2024,youtube,Positive,4.02
nice one handed ️  caught,23-06-2024,youtube,Positive,4.02
nice one handed ️  caught,23-06-2024,youtube,Positive,4.02
staff  knowledge is good and all model available at store,27-06-2019,google,Positive,4
thank you for such a good service mr sandeep,26-06-2020,google,Positive,4
the camera bump is an actual hassle on my xiaomi 13 ultra.. until i've used it for a month then it becomes a really great location to rest your finger.. it's actually a very convenient design,23-06-2024,youtube,Positive,4
good mobile in this price segment. i purchased this mobile to play free fire it runs very well in standard quality but there is no game turbo voice changer split screen option in this mobile😭 it stacks and restawhen i open and using a heavy apps average camera quality but best quality in this budget range slow downloading on mobile data battery backup is not bad.  but i liked this phone in this price segment.review after using 7 days,18-03-2024,amazon,Positive,4
nice phone. this phone is one of the best phone under 20000the camera is also nice but this phone is a bit laggy  but overall it's nice and can work for 2 years very easily.,20-05-2024,amazon,Positive,4
13c 6/128gb. after 3days of usage for 6/128gb phone myoverall experience is good whether it comes in terms for camera clarity games phone system processor.display quality is very good as compare to price range of this phone. no heating issues and no lagging issues were found till nowcons speaker sound of this phone is not upto the mark quality need to be improved .battery 🔋drains very early as compare to other phones with same battery size. as i have to charge my new phone twice due to heavy internet usage.🔋⚡ takes approx more than 2hours to be full .no quick charging is there in this phone.overall we can consider this phone if u are okay with the battery 🔋in this budget.,04-06-2024,amazon,Positive,4
affordable. appearance of mobile is good and quality of sound is just ok mobile is not hanging  ease of use overall good mobile in affordable  budgetno heating problemtouch is goodbattery life is the biggest  problem  if we see 10 minute  video battery drains quickly  from 80 to 60 i faced personally,17-06-2024,amazon,Positive,4
good one. nice,22-06-2024,amazon,Positive,4
looks awesome. overall well performance,22-06-2024,amazon,Positive,4
mi 13c 4g white color 4 128. white color is superb suits this model 👍,20-06-2024,amazon,Positive,4
value for money. only thing to be improved is camera quality which is not looks like 50mp other than that all good👍,14-06-2024,amazon,Positive,4
good for this price. camera quality good for this price .battery life good .looking good .,12-06-2024,amazon,Positive,4
reasonable price. good quality phone in an affordable price. picture quality is not great. but overall it is worthy to invest.,12-06-2024,amazon,Positive,4
ok. ok,15-06-2024,amazon,Positive,4
split screen nhi hai.. no split screen supported.system apps update only on settings.play store me sab app ka update chahiye tha.18 watt charger de dete 100200 le kar .although spend money on 5g not in 4g .redmi ui is worse than others.if you have money buy samsung f14 5g and potronics charger and type c cable.if you are broke then go for it . this is not bad.a/c to price this is the best phone so far.,17-05-2024,amazon,Positive,4
fantastic. nice phone,13-06-2024,amazon,Positive,4
value for money. nice mobile,18-06-2024,amazon,Positive,4
value for the money. good product. display could have been better.,13-06-2024,amazon,Positive,4
low budget best mobile. this is a very good mobile. the look is quite good. performance is nice also it could run bgmi. overall good performance of all. happy to buy it .,31-05-2024,amazon,Positive,4
best. but sound is very low,08-06-2024,amazon,Positive,4
super. just ok,10-06-2024,amazon,Positive,4
nice color. touch is not that good,21-06-2024,amazon,Positive,4
good. good performance mobile,19-06-2024,amazon,Positive,4
best phone under rs 10000. one person found this helpful,12-06-2024,amazon,Positive,4
phone. good phone,04-06-2024,amazon,Positive,4
gud product. gud product,29-05-2024,amazon,Positive,4
excellent product. this is a perfect product for the money spend and the my requirements for personal and professional usage. highly recommend,23-05-2024,amazon,Positive,4
good product. value for money. best budget phone. good quality camera,27-05-2024,amazon,Positive,4
good product. good product,25-05-2024,amazon,Positive,4
best. best,23-05-2024,amazon,Positive,4
nice phone. good features. display camerastorage all are good. perform smoothly.,19-05-2024,amazon,Positive,4
good moble. nice moble this bugut  👌,20-05-2024,amazon,Positive,4
redmi 13c. value for money what else can you expect from a 8k phone. camera and screen quality could have been better.,20-05-2024,amazon,Positive,4
best product. .,22-05-2024,amazon,Positive,4
absolute condition. product quality good.charging not upto mark.memory good.ram sufficient.internet connectivity good.quiet heat wave.,13-05-2024,amazon,Positive,4
good product. just purchased. so far it's good.let's see will keep you'll updated,14-05-2024,amazon,Positive,4
budget mobile for light use only. product  redmi 13c (stardust black 4gb ram 128gb storage)seller  darshita mobilesdate of purchase april 2024price @ time of purchase ₹7699in box contents  mobile  adapter  cable  sim ejector pinpros   1.camera is good.  2.battery is satisfactory  3.light weight easy to carrycons   1.lager bezels  2.fast charger not included  3.some lags are found during operationthis review is entirely my true experience with the product and not for promotion.,18-04-2024,amazon,Positive,4
good. good,16-05-2024,amazon,Positive,4
good product. camera awesome,21-05-2024,amazon,Positive,4
redmi mobile. purchase this product because it's sufficient for used,15-05-2024,amazon,Positive,4
worthy. good product,16-05-2024,amazon,Positive,4
affordable for features. good to handle large screen memory size is good features are good for the cost.may be picture quality and battery needs to be improved in the next version camera popup frame is little unsafe,29-04-2024,amazon,Positive,4
bought for my mother. screen quality is nice and a perfect buy for the elders.,10-05-2024,amazon,Positive,4
good product. features are good.,13-05-2024,amazon,Positive,4
ok. value for money,08-05-2024,amazon,Positive,4
good. good,08-05-2024,amazon,Positive,4
nice product. nice product,04-05-2024,amazon,Positive,4
very good collection. nice features good looking battery backup also good overall perfect mobile 📱 go for it,29-04-2024,amazon,Positive,4
better  mobile. good working internet calling,26-04-2024,amazon,Positive,4
great mobile. awesome mobile in this budget camera quality very nice,21-04-2024,amazon,Positive,4
worth it. sound quality need to improve. otherwise best product for this value.,23-04-2024,amazon,Positive,4
performance. phone is good at this price range its affordable,02-05-2024,amazon,Positive,4
good mobile. camera like is not good... except that the phone is very good👍,22-04-2024,amazon,Positive,4
super. nice product,04-05-2024,amazon,Positive,4
ok.. can buy this .,06-05-2024,amazon,Positive,4
redmi 13. the phone performance is very nice,30-04-2024,amazon,Positive,4
i like this. in this price the phone is very good. ram and rom is enough in this price range. camera is quite good. battery backup is very nice.,13-04-2024,amazon,Positive,4
mobile is good but sound less. all are good but sound less,01-05-2024,amazon,Positive,4
very nice. quality,07-05-2024,amazon,Positive,4
nic. good,28-04-2024,amazon,Positive,4
worth the money. an average phone at quite a cheap price.best for people with limited use of smartphone. camera is ok overall good performance battery could have been better.,02-05-2024,amazon,Positive,4
best smartphone. after redmi5 brought this one good and worthy.. battery and camera okay level,16-04-2024,amazon,Positive,4
price worthy. good product with 256 gb memory 8+8 gb ram. but camera quality is not very good.,20-04-2024,amazon,Positive,4
a phone with good camera and battery. purchased the product a month back. in daylight it is difficult to see the screen even if put for good brightness.,10-04-2024,amazon,Positive,4
nice phone. brightnesssmoothnesscameraqualityperformancefingerprint sensor,18-04-2024,amazon,Positive,4
low sound quality. very very low sound quality but ok.,20-04-2024,amazon,Positive,4
good. report,20-04-2024,amazon,Positive,4
good value for money nothing special. nothing special. good value for money,23-04-2024,amazon,Positive,4
camera not clear. camera clearity is not perfect performance is best.,19-04-2024,amazon,Positive,4
best for old people. i like it it is best for old people average in games,11-04-2024,amazon,Positive,4
it's ok. gsbs ss s,12-04-2024,amazon,Positive,4
packaging. packaging was not good product was ok,13-04-2024,amazon,Positive,4
the best phone. minde blowing,16-04-2024,amazon,Positive,4
arshad rajah. best 😜value for money,26-03-2024,amazon,Positive,4
phone looking beautiful ❤️❤️❤️❤️❤️. battery 🔋 ok.camera nice 👍👍👍.but redmi all model network issues.......that is bad point for me........,15-03-2024,amazon,Positive,4
very nice. awesome,30-03-2024,amazon,Positive,4
complete package phn cover missing. looking good,18-03-2024,amazon,Positive,4
these gaming phones are best in low price,21-06-2024,facebook,Positive,3.98
i have purchased note 12 pro plus yesterday from mi store from mr. harish.he is so nice and polite..... he specially came to give my phone at a different location and waited for so long.... thank you so much.😊 …,26-06-2023,google,Positive,3.98
it was nice to go there ...great experience  skilled staff .....just try it once,#VALUE!,google,Positive,3.98
it's a amazing mi home vgud location gud service staff is very gud,27-06-2019,google,Positive,3.98
it's amazing store then very nyc store staff,27-06-2019,google,Positive,3.98
arun has grown so much as a content creator and i love it,23-06-2024,youtube,Positive,3.98
arun has grown so much as a content creator and i love it,23-06-2024,youtube,Positive,3.98
not sure but the sound of this video is different but as always great review,23-06-2024,youtube,Positive,3.98
not sure but the sound of this video is different but as always great review,23-06-2024,youtube,Positive,3.98
it depends if you want a full featured phone versus an aosp skin. nothing can go as deep as knox and having straight up an entirely different zero latency audio engine dex that can rub windows natively and even full on pc games etc etc. as a phone it's pretty cool,19-06-2024,youtube,Positive,3.98
ranjeet singh is nice guy and supported. in future want to buy another product from him,27-06-2019,google,Positive,3.96
it's a very nice store then staff is very gud,27-06-2019,google,Positive,3.96
w editors the video was fun to watchsince no one appreciates them that often ️,23-06-2024,youtube,Positive,3.96
i watched oneplus 12pro review both marques and you. there were so many thing that he just missed. thank you for doing the kind of research and putting in the time so that we can make a more informed decision. thank you,23-06-2024,youtube,Positive,3.96
i watched oneplus 12pro review both marques and you. there were so many thing that he just missed. thank you for doing the kind of research and putting in the time so that we can make a more informed decision. thank you,23-06-2024,youtube,Positive,3.96
super xiaomi,23-06-2024,facebook,Positive,3.94
mi home is a very owsm then all model r available in our store and very nice mi home staff,27-06-2019,google,Positive,3.94
better,26-02-2024,google,Positive,3.94
super customer behaviour. keep it up....,27-06-2019,google,Positive,3.94
editing keeps getting better every vid,23-06-2024,youtube,Positive,3.94
i just realised that pictures look better on twitter,23-06-2024,youtube,Positive,3.94
i just realised that pictures look better on twitter,23-06-2024,youtube,Positive,3.94
but we already had this with older phones. samsung oneplus e.g. all did this in the past. xiaomi is just brining an old trend back. also as you yourself commented on it curved displays seemingly always struggle with registering gestures... honestly i am kind of happy were past that phase of phone design.,23-06-2024,youtube,Positive,3.94
good.i found what i desire and installation at same day. good service overall,26-06-2020,google,Positive,3.92
bruuuuh that drop dropped my soul alongside it this is what rich people are capable of,23-06-2024,youtube,Positive,3.92
those are definitely not just decorative camera rings i’m sure they’re there to hold like polarized lens filters and such,23-06-2024,youtube,Positive,3.92
let my bro free,23-06-2024,youtube,Positive,3.92
let my bro free,23-06-2024,youtube,Positive,3.92
left hand pick left right hand pick right,21-06-2024,facebook,Positive,3.9
nice store products unique..,26-02-2024,google,Positive,3.9
went to store today to buy phone unfortunately i was not carrying my icici bank credit card for discount. store executive harsh was very helpful he came to my house along with swipe machine and new phone to deliver the same to me. i swiped the phone outside my home and he delivered the phone to me. thanks for wonderful service.,26-06-2023,google,Positive,3.9
thanks for sharing your experience,27-01-2024,google,Positive,3.9
ecommerce ..  very good service. just one hour delivery for my new laptop. customer centric interaction by rishipal  from mi store rdc and nitin singh.. in the crucial scenario of corona pandemic also they perform thier duties well. hatts …,26-06-2021,google,Positive,3.9
services are very best.even they all were there in time.security behaviour was vary good …,27-06-2019,google,Positive,3.9
thanks guy's for reach at my end .nice jobs micommerce,26-06-2020,google,Positive,3.9
success xiaomi,24-06-2024,facebook,Positive,3.88
wow i want one tablet please,23-06-2024,facebook,Positive,3.86
wow i like it this phone pls sponser,21-06-2024,facebook,Positive,3.86
friendly environmentgood service,27-06-2019,google,Positive,3.86
i have been watching his videos for years but man i love how he slice down every single details.,23-06-2024,youtube,Positive,3.86
i have been watching his videos for years but man i love how he slice down every single details.,23-06-2024,youtube,Positive,3.86
had a positive experience at this store.staff is quite active and respectful.also mr gaurav sharma's efforts were appreciable.,27-06-2019,google,Positive,3.82
that's is authorised store of mi there is available of mi gudgets like mobile phone power bank tablet mobile accessories music system lcd t.v etcif you want to bye mi product so you need to come here,26-06-2021,google,Positive,3.82
i got an osm phn from here services were very gud☺️ satisfied ❤️,26-06-2021,google,Positive,3.82
love your videos what do you do with all the tech that you buy and review the big items i assume goes back to the manufacturer,23-06-2024,youtube,Positive,3.8
love your videos what do you do with all the tech that you buy and review the big items i assume goes back to the manufacturer,23-06-2024,youtube,Positive,3.8
amezing experience at visit to store positive staff behavior,26-06-2020,google,Positive,3.78
its a owsm store then location is near about nd staff is nice,27-06-2019,google,Positive,3.78
watching this makes me jealous of not being able to afford phones like that.. still going strong with my redmi note 8 pro. will hopefully be able to afford one by the end of the year and hopefully the prices will drop as well because the new xiaomi 14 ultra looks sick,23-06-2024,youtube,Positive,3.78
watching this makes me jealous of not being able to afford phones like that.. still going strong with my redmi note 8 pro. will hopefully be able to afford one by the end of the year and hopefully the prices will drop as well because the new xiaomi 14 ultra looks sick,23-06-2024,youtube,Positive,3.78
reguardless of if it’s more usefull/better i’d still wish companies would give us a curved and a non curved variant of their ultra phones. i miss having choices.,23-06-2024,youtube,Positive,3.78
congratulations xiaomi  i wish i can buy  phone,25-06-2024,facebook,Positive,3.76
the counter of tesla hahaha,25-06-2024,facebook,Positive,3.76
i have the 14 ultra myself and i have to say the camera grip accessory is a game changer for taking pics/vids makes it feel like a legitimate digital camera and definitely a head turner to anyone ive shown the phone to haha.,23-06-2024,youtube,Positive,3.76
 sorry but samsung flat display is exactly the main reason i left iphone 14 pro max where i was locked in the eco system. > it is natural to write on that flat display when like me you always use the s pen. curve display is cute but useless to me,23-06-2024,youtube,Positive,3.76
i like the video size ratio you are using utilising most of the screen with narrow black stripes on the side. video is also informative thanks,23-06-2024,youtube,Positive,3.74
this is the first time i actually smiled for your quirky suboneliners . the others were okay but this one brought me to the comments .,23-06-2024,youtube,Positive,3.74
this is the first time i actually smiled for your quirky suboneliners . the others were okay but this one brought me to the comments .,23-06-2024,youtube,Positive,3.74
will be full of bugs like their phones,24-06-2024,facebook,Positive,3.72
nice staff and product availability is also proper,27-06-2019,google,Positive,3.72
how do i check if my xiaomi is the original one,23-06-2024,facebook,Positive,3.7
i like 13 ultra...i'll save for it,25-06-2024,facebook,Positive,3.7
congratulations xiaomi my dream phone..,21-06-2024,facebook,Positive,3.7
sales staff mr yashpal is well mannered and explain the features very well,27-06-2019,google,Positive,3.7
really interesting video about physical nes,24-06-2024,youtube,Positive,3.7
really interesting video about physical nes,24-06-2024,youtube,Positive,3.7
wow,25-06-2024,facebook,Positive,3.68
wow,24-06-2024,facebook,Positive,3.68
if that going to work like mine xiaomi 12 ...well f*** that s***..good luck,24-06-2024,facebook,Positive,3.68
very helpful staff all,26-02-2024,google,Positive,3.68
cool,24-06-2024,facebook,Positive,3.66
nice store no need to purchase online all model and colour variations available at store,27-06-2019,google,Positive,3.66
very humble staff and also having good knowledge of the product,26-06-2020,google,Positive,3.66
they both great but left for me actually,25-06-2024,facebook,Positive,3.64
im using xiaomi 14 for the last 3 weeks and i haven't encountered any ads in the phone you can turn off fhe personalised ads in the settings then there will be no ads .the new os hyperos is really smooth comparing iwith miui .also there is a ton of features in the camera.if you  love photography go for xiaomi 14 ultra the device will never let you down.,23-06-2024,youtube,Positive,3.64
thanks for this review.,23-06-2024,youtube,Positive,3.64
thanks a lot i have been waiting for this video for 2 months,23-06-2024,youtube,Positive,3.64
who's catching the box at the back that was cool,23-06-2024,youtube,Positive,3.64
thanks a lot i have been waiting for this video for 2 months,23-06-2024,youtube,Positive,3.64
who's catching the box at the back that was cool,23-06-2024,youtube,Positive,3.64
thanks,23-06-2024,youtube,Positive,3.64
thanks,23-06-2024,youtube,Positive,3.64
i wish to buy14 ulta. how is battery backup. any draining issue. my use calling social media photography.plz share ur battery experience.,23-06-2024,youtube,Positive,3.64
this looks like bs right here,23-06-2024,youtube,Positive,3.64
xiaomi removing ads in some countries and improving upon this video would be absolute happs…,23-06-2024,youtube,Positive,3.62
congratulations xiaomi,21-06-2024,facebook,Positive,3.6
congratulations,21-06-2024,facebook,Positive,3.6
congratulations xiaomi...,25-06-2024,facebook,Positive,3.6
congratulations xioami..,21-06-2024,facebook,Positive,3.6
finally xiaomi did it offline store for every innovative product of their company at online price,27-06-2019,google,Positive,3.6
“i got hired by a ytuber”“whats ur job”“sitting under a desk and catching things…”,23-06-2024,youtube,Positive,3.6
“i got hired by a ytuber”“whats ur job”“sitting under a desk and catching things…”,23-06-2024,youtube,Positive,3.6
very helpful staff and all mi goods and stuff present,26-06-2021,google,Positive,3.58
software depends on usage. i like to carry 1 device instead of 1 for personal and 1 for work. so to have dual sim with the ability to clone any app was a deal breaker and got me using the xiaomi.,22-06-2024,youtube,Positive,3.58
software depends on usage. i like to carry 1 device instead of 1 for personal and 1 for work. so to have dual sim with the ability to clone any app was a deal breaker and got me using the xiaomi.,22-06-2024,youtube,Positive,3.58
hi my mobile got xiaomi hyperos update after that when i update my mobile the home button of my mobile doesn't work and the mobile gets hit any solution please,23-06-2024,facebook,Positive,3.56
maybe a heavier and thicker case might do it to be comfortable with it. it'll make the back of the phone flat and balance the heavy camera,23-06-2024,youtube,Positive,3.56
maybe a heavier and thicker case might do it to be comfortable with it. it'll make the back of the phone flat and balance the heavy camera,23-06-2024,youtube,Positive,3.56
i was waiting on you for this in fact today i woke up to check if you have posted this specific review of the mi 14 ultra and today you came up prompts  thanks arun,23-06-2024,youtube,Positive,3.54
i was waiting on you for this in fact today i woke up to check if you have posted this specific review of the mi 14 ultra and today you came up prompts  thanks arun,23-06-2024,youtube,Positive,3.54
hyperos is totally a garbage. i just bought my redmi note 13 pro 5g last february everything is fine and smooth. after the update from miui14 to hyperos it started to lag. battery heat too fast. it freezes when playing heavy games like pubg moba and…,23-06-2024,facebook,Positive,3.52
congrats xiaomi,21-06-2024,facebook,Positive,3.52
congrats,21-06-2024,facebook,Positive,3.52
congrats,21-06-2024,facebook,Positive,3.52
fastest charger ever in a car.... as a blessing of electric car,25-06-2024,facebook,Positive,3.5
that hand  in backround  was coming to grab the box from nowhere,23-06-2024,youtube,Positive,3.5
note10 light i want,21-06-2024,facebook,Positive,3.48
gift me this phone,25-06-2024,facebook,Positive,3.44
hope you added a skip button for skip ads,24-06-2024,facebook,Positive,3.44
surprisingly wide range of products.expect to see more in the near future.,27-06-2019,google,Positive,3.42
when is it available in iraqi markets,25-06-2024,facebook,Positive,3.4
will that lags like xiaomi phone or filled up with bugs,25-06-2024,facebook,Positive,3.4
pls make a video about their base variations i begur videos are the only one i understand and enjoy watching,24-06-2024,youtube,Positive,3.4
i accept gifts,21-06-2024,facebook,Positive,3.38
thank you for bagde...,21-06-2024,facebook,Positive,3.36
today i bought 43inch mi ultra hd tv before buying the product i request the staff to install the product today only as it is a gift for my parents on the occasion of there anniversary first they said they can install today but after …,26-06-2020,google,Positive,3.36
i’ll do 0.00001 pushup for every like this comment gets,23-06-2024,youtube,Positive,3.36
cant imagine what phone cameras would look like in the future,23-06-2024,youtube,Positive,3.36
cant imagine what phone cameras would look like in the future,23-06-2024,youtube,Positive,3.36
compare it with vivo x100 prowould love to se blind test poll of camera comparision,23-06-2024,youtube,Positive,3.36
compare it with vivo x100 prowould love to se blind test poll of camera comparision,23-06-2024,youtube,Positive,3.36
thank you for this video on tv galaxy s24 ultra,23-06-2024,youtube,Positive,3.36
i'd be curious about a comparison between the standard xiaomi 14 and s24 mainly because those are the versions i'd actually be considering.,23-06-2024,youtube,Positive,3.34
been using xiaomi for 4 years now because of how cheap their phones are compared to the competition while offering similar specs. the ads in the apps problem isnt an issue for me specifically since i enjoy tweaking things and removed all their ad infested bloatware via adb and installed other apps to do the same tasks. the camera on my current 12 pro is insane even being almost 3 years old. it still runs insanely smoothly too and can handle many mobile games effortlessly. the battery used to be great but after 2 years of usage it's really starting to show its age. but despite this the massive power brick with fast charging can get me back up to 80% in,23-06-2024,youtube,Positive,3.34
been using xiaomi for 4 years now because of how cheap their phones are compared to the competition while offering similar specs. the ads in the apps problem isnt an issue for me specifically since i enjoy tweaking things and removed all their ad infested bloatware via adb and installed other apps to do the same tasks. the camera on my current 12 pro is insane even being almost 3 years old. it still runs insanely smoothly too and can handle many mobile games effortlessly. the battery used to be great but after 2 years of usage it's really starting to show its age. but despite this the massive power brick with fast charging can get me back up to 80% in,23-06-2024,youtube,Positive,3.34
i suggest that the computation of scores should be weighted..not all categories are as important as the other,23-06-2024,youtube,Positive,3.34
price please,23-06-2024,facebook,Positive,3.32
price please,21-06-2024,facebook,Positive,3.32
overall quite surprised at the xiaomi 14 ultra's camera capabilities especially the ai upscaling feature.,23-06-2024,youtube,Positive,3.32
overall quite surprised at the xiaomi 14 ultra's camera capabilities especially the ai upscaling feature.,23-06-2024,youtube,Positive,3.32
i think is right,21-06-2024,facebook,Positive,3.28
right,25-06-2024,facebook,Positive,3.28
well,21-06-2024,facebook,Positive,3.28
i walked into the store and met mr ranjit singh store representative. found him to be knowledgeable and we spoken. he guided me to the right product according to my need. …,27-06-2019,google,Positive,3.28
your channel is great but the fast paced editing makes me feel knackered lol.i challenge thee to make at least one video with no editing,23-06-2024,youtube,Positive,3.28
on 9th feb at around 710pm i visited to buy a mobile phone under 20k budget but sales person was not interested to show anything and even i asked him number of times to show me some mobile phone but he ignored me like i am invisible.i was with two of my friends and we were surprised to see such ignorance.,26-06-2022,google,Positive,3.26
i visited the mi store to buy a tv but they don't have the latest model on display. i was planning to buy a new 5a model but they showed me the old model. although they explained all the features.....,#VALUE!,google,Positive,3.24
what is he working on right know waiting for package deliveryi need the new video,23-06-2024,youtube,Positive,3.22
what is he working on right know waiting for package deliveryi need the new video,23-06-2024,youtube,Positive,3.22
just a curious question what do you do with cellphones when you're done with the content,23-06-2024,youtube,Positive,3.22
just a curious question what do you do with cellphones when you're done with the content,23-06-2024,youtube,Positive,3.22
how much,25-06-2024,facebook,Positive,3.2
how much ya,25-06-2024,facebook,Positive,3.2
mi home its a owsm becous staff is very gud then gud product knwldge so m very happieee,27-06-2019,google,Positive,3.2
it's very gd experience to visiting this showroom. gd communication with gaurav sharma.,27-06-2019,google,Positive,3.2
very prompt service. must visit place 👍🏻 …,27-06-2019,google,Positive,3.2
nitinthank you so much for delivering immediately at the time i needed mobile.,26-06-2020,google,Positive,3.2
butt cheek pimples really put arun off,23-06-2024,youtube,Positive,3.2
located in the heaof ghaziabad. a place where you can all the latest range of smartphones leds & other accessories offered by xiaomi,26-06-2020,google,Positive,3.18
left and right,21-06-2024,facebook,Positive,3.14
staff not give good service to customer because no anybody pick customer call,26-06-2021,google,Positive,3.14
also in hyoeros when you apply themes the system ui also changes which gives a completely new feel every time,23-06-2024,youtube,Positive,3.14
damn. those photos really look beautiful... but i guess you could get the same processing from the nonultra versions too.,23-06-2024,youtube,Positive,3.14
seat soft leather camel color,24-06-2024,facebook,Positive,3.1
is it just me who wants to see the guy who catches the boxes thrown back there,23-06-2024,youtube,Positive,3.1
redmi a3 never buy redmia3 ito na yata pinaka pangit na unit na ginawa ng xiaomi redmi sobrang gapang facebook palang naka install grabe ang pangit talaga ng performance di efficient nag huhung parang mumurahing celpon masmaganda pang bumili ng infinit…,23-06-2024,facebook,Positive,3.08
i want them all..+ redmi note 13 pro plus,25-06-2024,facebook,Positive,3.08
i want vivo x100pra,21-06-2024,facebook,Positive,3.08
i want to buy 3 pieces,25-06-2024,facebook,Positive,3.08
fast service in work days & on weekend you'll wait ...& sometimes you'll wait so long may be for hours,27-06-2019,google,Positive,3.08
well connected place but not much discount.,30-08-2023,google,Positive,3.04
السعر,23-06-2024,facebook,Neutral,3
price,25-06-2024,facebook,Neutral,3
price,25-06-2024,facebook,Neutral,3
hiii,25-06-2024,facebook,Neutral,3
this is we can insethe sim,25-06-2024,facebook,Neutral,3
hola siento escribir en tu timeline pero te tengo que decir la verdad siempre comparto publicaciones geniales.    me quedé impresionado cuando vi tus maravillosas publicaciones y hermosas fotos.    sería muy feliz si te convertieras en mi amigo.    …,25-06-2024,facebook,Neutral,3
عالمي,25-06-2024,facebook,Neutral,3
checkout on this shop on shopee xiaomi mi online,23-06-2024,facebook,Neutral,3
sim suppokorle vlo hoto.,23-06-2024,facebook,Neutral,3
does it have a sim slot,23-06-2024,facebook,Neutral,3
"mending sih ukuran layarnya pas 12""lalu resolusi layar 2k aja&chipset pakai 7 gen 3 plus bisa tambah micro sd/ada varian 512gb",23-06-2024,facebook,Neutral,3
السعر؟,23-06-2024,facebook,Neutral,3
u xiaomi jsem už hodně dlouho stále mám doma funkční mi 6  . nikdy žádný problém a 14 ultra ta je vážně špička .,25-06-2024,facebook,Neutral,3
brother's why not suppolmc camera the + 5g model..,25-06-2024,facebook,Neutral,3
chega sp brasil anatel,25-06-2024,facebook,Neutral,3
cuando sacan móviles con snapdragon ,25-06-2024,facebook,Neutral,3
hiiii,24-06-2024,facebook,Neutral,3
não recomendo um xiaomi nem ao um inimigo .,25-06-2024,facebook,Neutral,3
